id_bic,nivel,codigo_nacional,tipo_bic,grupo,subgrupo,categoria,subcategoria,codigo_dane,codigo_dane₂,nombre_bien,direccion,acto_administrativo,zona_influencia,pemp
bic0047,Nacional,01-01-01-08-15-001-000001,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15001,,Estación del Ferrocarril Germania,,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0048,Nacional,01-01-01-08-15-001-000002,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15001,,Estación del Ferrocarril La Vega,,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0049,Nacional,01-01-01-08-15-001-000003,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15001,,Estación del Ferrocarril Páez Nuevo,,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0050,Nacional,01-01-01-08-15-001-000005,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15001,,Estación del Ferrocarril Tunja (Antigua),,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0051,Nacional,01-01-01-08-15-001-000006,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15001,,Estación del Ferrocarril Tunja (Nueva),,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0052,Nacional,01-01-01-05-15-001-000001,Inmueble,Arquitectónico,Arquitectura Para El Comercio,Edificación Comercial,Plaza De Mercado,15001,,Plaza de Mercado de Tunja,"Calles 20 Y 21, Carreras 13 Y 14",Decreto 3070 del 20 de diciembre de 1990,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0053,Nacional,01-01-02-01-15-001-000001,Inmueble,Urbano,Sector Urbano,Sector Urbano De Interés,Centro Histórico,15001,,Sector Antiguo de la ciudad de Tunja,"El Sector Antiguo Abarca "" Las Calles,
Plazas, Plazoletas, Murallas, Inmuebles, Incluidos Casas Y Construcciones Históricas, En Los","Resolución 428 de 27 de marzo de 2012
(aprueba); Resolución 1680 de 10 de junio de 2015 (adiciona);
Resolución 3275 de 12 de noviembre de","Resolución 428 de 27 de marzo
de 2012","Resolución 428 de 27 de marzo
de 2012 (aprueba); Resolución 1680 de
10 de junio de 2015 (adiciona);"
bic0054,Nacional,01-01-01-09-15-861-000001,Inmueble,,,,,15001,15861,"Conjunto del Parque Histórico, la Piedra de
Barreiro, las Ruinas del Antiguo Molino Hidráulico y el área de mayor enfrentamiento entre los ejércitos,",,Resolución 1066 de 2 de agosto de 2006,"Resolución 3419 de 24 de
septiembre de 2018","Resolución 3419 de 24 de
septiembre de 2018"
bic0055,Nacional,01-01-01-09-15-861-000001,Inmueble,Arquitectónico,Obra De Ingeniería,Infraestructura,Puente,15001,15861,Puente de Boyacá,Ruta De La Campaña Libertadora,Resolución 1066 de 2 de agosto de 2006,"Resolución 3419 de 24 de
septiembre de 2018","Resolución 3419 de 24 de
septiembre de 2018"
bic0056,Nacional,01-01-01-08-15-001-000004,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15001,15861,Estación del Ferrocarril Puente de Boyacá,Corregimiento Puente De Boyacá,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0057,Nacional,01-01-02-01-15-835-000001,Inmueble,Urbano,Sector Urbano,Sector Urbano De Interés,Centro Histórico,15835,,Sector Urbano del Municipio de Turmequé,""" La Plaza Principal Que Corresponde A La
Manzana N° 15 Del Plano Urbano Elaborado Por El Instituto Geográfico ""Agustín Codazzi"" Y Los Cuatro Costados",Decreto 1940 del 29 de agosto de 1989,Decreto 1940 del 29 de agosto de 1989,
bic0058,Nacional,01-01-01-03-15-837-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Centro Doctrinero,Capilla Doctrinera,15837,,Capilla Doctrinera Tuta,Plaza Principal,Resolución 1686 del 1 de diciembre de 2004,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0059,Nacional,01-01-01-08-15-837-000001,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15837,,Estación del Ferrocarril Tuta,,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0060,Nacional,01-01-01-02-15-861-000001,Inmueble,Arquitectónico,Arquitectura Habitacional,Vivienda Rural,Vivienda Unifamiliar,15861,,Casa de Teja o de Postas,Ruta De La Campaña Libertadora,Resolución 1066 del 2 de agosto de 2006,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0061,Nacional,01-01-01-02-15-861-000002,Inmueble,Arquitectónico,Arquitectura Habitacional,Vivienda Rural,Vivienda Unifamiliar,15861,,Casa Histórica de Ventaquemada,Ruta De La Campaña Libertadora,Ley 51 del 26 de diciembre de 1967,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0062,Nacional,01-01-01-08-15-861-000001,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15861,,Estación del Ferrocarril Albarracín,,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0063,Nacional,01-01-01-08-15-861-000002,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15861,,Estación del Ferrocarril Páez Viejo,,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0064,Nacional,01-01-01-08-15-861-000003,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15861,,Estación del Ferrocarril Ventaquemada,,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0065,Nacional,01-01-01-03-15-861-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Iglesia,Iglesia,15861,,Templo de La Libertad,Ruta De La Campaña Libertadora,Ley 50 del 9 de octubre de 1986. Resolución 1066 del 2 de agosto de 2006,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0066,Nacional,01-01-01-02-15-407-000001,Inmueble,Arquitectónico,Arquitectura Habitacional,Vivienda Urbana,Vivienda Unifamiliar,15407,,Casa donde murió Antonio Nariño,Carrera 9 10-25,Ley 81 del 26 de septiembre de 1961,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0067,Nacional,01-01-02-01-15-407-000001,Inmueble,Urbano,Sector Urbano,Sector Urbano De Interés,Centro Histórico,15407,,Sector Antiguo de la ciudad de Villa de Leyva,"El Sector Antiguo Abarca "" Las Calles, Plazas, Plazoletas, Murallas, Inmuebles, Incluidos Casas Y Construcciones Históricas, En Los Ejidos, Muebles Etc., Incluidos En El
Perímetro Que Tenían Éstas Poblaciones Durante Los Siglos Xvi, Xvii, Xviii "". Ley 163 30-12-1959","Acta 05 de 1995 del Consejo de Monumentos Nacionales (delimita);
Resolución 2407 de 30
de noviembre de 2020 (actualiza)",Acta 05 de 1995 del Consejo de Monumentos Nacionales (delimita); Resolución 2407 de 30 de noviembre de 2020 (actualiza),"Resolución 2407 de 30 de noviembre
de 2020"
bic0068,Nacional,01-01-05-01-15-516-000001,Mueble,Monumento En Espacio Público,Monumento En Espacio Público,Escultura,,15516,,Monumento del Pantano de Vargas.,Cerro De El Cangrejo - Vereda Pantano De Vargas (Ruta De La Campaña Libertadora),Decreto 1744 de 1 de septiembre de 1975,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0069,Nacional,-,Mueble,De Carácter Utilitario,Ornamentos Litúrgicos E Indumentaria Religiosa,,,15806,,Colección de obra mueble del Museo de Arte Religioso,"Vereda Suescún. Vía Duitama - Nobsa. Km 6, Lote Culturama",Decreto 923 del 19 de marzo de 1986,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0070,Departamental,-,Inmueble,Arquitectónico,Arquitectura Para La Industria,Molino,Molino,15238,,Molino Tundama,"Carrera 16 No. 19-73 Y Carrera 16 No. 19-
101","Decreto 582 Del 17 De Septiembre
De 2019","Resolución 0433 De 29 De
Diciembre De 2021","Resolución 0433 De 29 De
Diciembre De 2021"
bic0071,Departamental,-,Inmueble,Arquitectónico,Arquitectura Habitacional,Vivienda Rural,Casa De Hacienda,15238,,Casa Del Mayorazgo De San Lorenzo Del Marquesado De Surba Y Bonza,"Área Rural De Duitama, Km. 8 Vía Bonza","Decreto 583 Del 17 De Septiembre
De 2019","Decreto 583 Del 17 De
Septiembre De 2019 (300 Metros Lineales Contados A Partir De La Finalización Del Área Afectada Por Cada Uno De Sus Costados)",
bic0072,Departamental,-,Inmueble,Arquitectónico,Obra De Ingeniería,Infraestructur,Puente,15511,15299,Puente Cuadras,"Límite Territorial Que Comparten Los Municipios De Pachavita Y Garagoa, Sobre El Río Garagoa","Decreto 585 Del 17 De Septiembre
De 2019","Decreto 585 Del 17 De
Septiembre De 2019 (300 Metros Lineales Contados A Partir De La Finalización Del Área Afectada Por Cada Uno De Sus Costados)",
bic0073,Departamental,-,Inmueble,Arquitectónico,Arquitectura Habitacional,Vivienda Urbana,Casa Unifamiliar,15599,,Casa Del Expresidente De La República José Ignacio De Márquez,Calle 7 No. 5-37/39/43,"Decreto 584 Del 17 De Septiembre
De 2019","Decreto 584 Del 17 De
Septiembre De 2019 (100 Metros Lineales Contados A Partir De La Finalización Del Área Afectada Por Cada Uno De Sus Costados)",
bic0074,Departamental,-,Inmueble,Arquitectónico,Arquitectura Para La Industria,Fábrica,Fábrica De Licores,15407,,Real Fábrica De Licores,"Calle 13 N° 8 - 04 /24 Carrera 8 N° 13 - 17 /
45 Y Calle 13 No. 8-28",Resolución 136 De 2023,No Aplica,
bic0075,Departamental,-,Inmueble,Arquitectónico,Arquitectura Institucional,"Edificación Para La
Educación","Institución Educativa
Básica",15001,,Colegio De Boyacá Sede Francisco De Paula Santander,Carrera 10 18-51 Al 99,Resolución 139 De 2023,No Aplica,
bic0076,Departamental,-,Inmueble,Urbano,Sector Urbano,"Sector De
Interés","Centro
Histórico",15720,,Centro Histórico,Centro Histórico,Resolución 137 De 2023,Resolución 137 De 2023,
bic0077,Departamental,-,Inmueble,Urbano,Sector Urbano,"Sector De
Interés","Centro
Histórico",15244,,Centro Histórico,Centro Histórico,Resolución 138 De 2023,Resolución 138 De 2023,
bic0078,Departamental,-,Inmueble,Arquitectónico,Arquitectura Habitacional,Hospedaje,Hotel,15753,,Hotel Turístico,Carrera 6 No. 7-57,Resolución 134 De 2023,"Resolución 134 De 2023
(100 Metros Lineales Contados A Partir De La Finalización Del Área Afectada Por Cada Uno De Sus Costados)",
,Municipal,,,,,,,,,,,,,
